YEAR,MONTH,DAY,SITE,TYPE,OBSERVER,BUDDY,SIDE,ZONE,TRANSECT,HEADING,DEPTH (M),DEPTH (FT),SEGMENT,CATEGORY,CLASSCODE,NAME,COUNT,notes,problems
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,10-20m,COVER,ENCRED,Red algae -Encrusting,2,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,10-20m,COVER,CRUCOR,Coralline algae -Crustose,8,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,SUBSTRATE,BEDRK,Substrate: Bedrock,8,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,SUBSTRATE,BOULD,Substrate: Boulder,2,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,RELIEF,0-10cm,0-10cm,3,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,RELIEF,10cm-1m,10cm-1m,6,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,RELIEF,1m-2m,1m-2m,1,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,0-10m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,0-10m,RELIEF,0-10cm,0-10cm,5,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,0-10m,RELIEF,10cm-1m,10cm-1m,5,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,0-10m,COVER,BARROC,Bare Rock,1,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,0-10m,COVER,ENCRED,Red algae -Encrusting,4,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,0-10m,COVER,CRUCOR,Coralline algae -Crustose,5,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,10-20m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,10-20m,RELIEF,0-10cm,0-10cm,9,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,10-20m,RELIEF,10cm-1m,10cm-1m,1,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,10-20m,COVER,ENCRED,Red algae -Encrusting,6,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,10-20m,COVER,CRUCOR,Coralline algae -Crustose,4,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,SUBSTRATE,BEDRK,Substrate: Bedrock,9,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,SUBSTRATE,SAND,Substrate: Sand,1,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,RELIEF,0-10cm,0-10cm,7,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,RELIEF,10cm-1m,10cm-1m,2,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,RELIEF,1m-2m,1m-2m,1,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,COVER,SHELL,Shell Debris,2,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,COVER,CRUCOR,Coralline algae -Crustose,7,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,COVER,ENCRED,Red algae -Encrusting,1,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,0-10m,SUBSTRATE,BEDRK,Substrate: Bedrock,8,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,0-10m,SUBSTRATE,BOULD,Substrate: Boulder,1,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,0-10m,SUBSTRATE,SAND,Substrate: Sand,1,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,0-10m,RELIEF,10cm-1m,10cm-1m,7,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,0-10m,RELIEF,1m-2m,1m-2m,3,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,0-10m,COVER,BARROC,Bare Rock,2,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,0-10m,COVER,BARSAN,Bare Sand,1,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,0-10m,COVER,CRUCOR,Coralline algae -Crustose,7,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,10-20m,SUBSTRATE,BEDRK,Substrate: Bedrock,6,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,10-20m,SUBSTRATE,BOULD,Substrate: Boulder,3,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,10-20m,SUBSTRATE,COB,Substrate: Cobble,1,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,10-20m,RELIEF,10cm-1m,10cm-1m,9,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,10-20m,RELIEF,1m-2m,1m-2m,1,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,10-20m,COVER,SHELL,Shell Debris,1,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,10-20m,COVER,CRUCOR,Coralline algae -Crustose,8,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,10-20m,COVER,ENCBRN,encrusting brown,1,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,20-30m,SUBSTRATE,BEDRK,Substrate: Bedrock,3,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,20-30m,SUBSTRATE,BOULD,Substrate: Boulder,4,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,20-30m,SUBSTRATE,COB,Substrate: Cobble,3,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,20-30m,RELIEF,0-10cm,0-10cm,1,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,20-30m,RELIEF,10cm-1m,10cm-1m,7,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,20-30m,RELIEF,1m-2m,1m-2m,2,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,20-30m,COVER,BARROC,Bare Rock,1,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,20-30m,COVER,SHELL,Shell Debris,1,,
2025,8,6,SAMSING,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,270,,30,20-30m,COVER,CRUCOR,Coralline algae -Crustose,8,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,0-10m,SUBSTRATE,BEDRK,Substrate: Bedrock,7,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,0-10m,SUBSTRATE,COB,Substrate: Cobble,1,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,0-10m,SUBSTRATE,SAND,Substrate: Sand,2,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,0-10m,RELIEF,0-10cm,0-10cm,2,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,0-10m,RELIEF,10cm-1m,10cm-1m,4,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,0-10m,RELIEF,1m-2m,1m-2m,4,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,0-10m,COVER,SAND,Bare Sand,2,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,0-10m,COVER,SHELL,Shell Debris,1,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,0-10m,COVER,ENCRED,Red algae -Encrusting,4,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,0-10m,COVER,CRUCOR,Coralline algae -Crustose,4,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,10-20m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,10-20m,RELIEF,10cm-1m,10cm-1m,1,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,10-20m,RELIEF,1m-2m,1m-2m,4,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,10-20m,RELIEF,>2m,>2m,5,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,10-20m,COVER,BARROC,Bare Rock,2,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,10-20m,COVER,CRUCOR,Coralline algae -Crustose,5,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,20-30m,SUBSTRATE,BEDRK,Substrate: Bedrock,8,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,20-30m,SUBSTRATE,COB,Substrate: Cobble,1,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,20-30m,SUBSTRATE,SAND,Substrate: Sand,1,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,20-30m,RELIEF,1m-2m,1m-2m,6,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,20-30m,RELIEF,>2m,>2m,4,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,20-30m,COVER,SHELL,SHELL,3,,
2025,8,6,SAMSING,BARREN,Caleigh Quist,Amina Shenasa,DN,DEEP,1,50,,32,20-30m,COVER,CRUCOR,Coralline algae -Crustose,8,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,0-10m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,0-10m,RELIEF,0-10cm,0-10cm,5,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,0-10m,RELIEF,10cm-1m,10cm-1m,5,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,0-10m,COVER,BARROC,Bare Rock,1,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,0-10m,COVER,ENCRED,Red algae -Encrusting,4,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,0-10m,COVER,CRUCOR,Coralline algae -Crustose,5,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,10-20m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,10-20m,RELIEF,0-10cm,0-10cm,9,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,10-20m,RELIEF,10cm-1m,10cm-1m,1,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,10-20m,COVER,ENCRED,Red algae -Encrusting,6,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,10-20m,COVER,CRUCOR,Coralline algae -Crustose,4,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,SUBSTRATE,BEDRK,Substrate: Bedrock,9,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,SUBSTRATE,SAND,Substrate: Sand,1,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,RELIEF,0-10cm,0-10cm,7,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,RELIEF,10cm-1m,10cm-1m,2,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,RELIEF,1m-2m,1m-2m,1,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,COVER,SHELL,Shell Debris,2,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,COVER,ENCRED,Red algae -Encrusting,1,,
2025,8,5,HARRIS,BARREN,Caleigh Quist,Haleigh Yang,DN,DEEP,2,95,8.2,,20-30m,COVER,CRUCOR,Coralline algae -Crustose,7,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,0-10m,SUBSTRATE,BEDRK,Substrate: Bedrock,9,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,0-10m,SUBSTRATE,BOULD,Substrate: Boulder,1,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,0-10m,RELIEF,0-10cm,0-10cm,5,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,0-10m,RELIEF,10cm-1m,10cm-1m,5,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,0-10m,COVER,ENCRED,Red algae -Encrusting,3,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,0-10m,COVER,CRUCOR,Coralline algae -Crustose,4,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,0-10m,COVER,ENCBRN,encrusting brown,2,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,10-20m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,10-20m,RELIEF,0-10cm,0-10cm,4,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,10-20m,RELIEF,10cm-1m,10cm-1m,6,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,10-20m,COVER,ENCRED,Red algae -Encrusting,2,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,10-20m,COVER,CRUCOR,Coralline algae -Crustose,7,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,10-20m,COVER,SCALLOP,Scallop,1,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,SUBSTRATE,BEDRK,Substrate: Bedrock,8,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,SUBSTRATE,BOULD,Substrate: Boulder,2,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,RELIEF,0-10cm,0-10cm,3,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,RELIEF,10cm-1m,10cm-1m,6,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,RELIEF,1m-2m,1m-2m,1,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,COVER,BARROC,Bare Rock,1,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,COVER,ENCRED,Red algae -Encrusting,1,,
2025,8,5,HARRIS,BARREN,Nikita Sridhar,Amina Shenasa,UP,DEEP,1,330,,25,20-30m,COVER,CRUCOR,Coralline algae -Crustose,8,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,0-10m,SUBSTRATE,BEDRK,Substrate: Bedrock,3,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,0-10m,SUBSTRATE,BOULD,Substrate: Boulder,5,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,0-10m,SUBSTRATE,COB,Substrate: Cobble,1,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,0-10m,SUBSTRATE,SAND,Substrate: Sand,1,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,0-10m,RELIEF,0-10cm,0-10cm,2,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,0-10m,RELIEF,10cm-1m,10cm-1m,6,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,0-10m,RELIEF,1m-2m,1m-2m,2,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,0-10m,COVER,BARROC,Bare Rock,1,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,0-10m,COVER,SHELL,Shell Debris,1,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,0-10m,COVER,ENCRED,Red algae -Encrusting,8,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,10-20m,SUBSTRATE,BEDRK,Substrate: Bedrock,6,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,10-20m,SUBSTRATE,BOULD,Substrate: Boulder,3,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,10-20m,SUBSTRATE,SAND,Substrate: Sand,1,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,10-20m,RELIEF,0-10cm,0-10cm,6,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,10-20m,RELIEF,10cm-1m,10cm-1m,4,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,10-20m,COVER,BARROC,Bare Rock,2,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,10-20m,COVER,BARSAN,Bare Sand,1,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,10-20m,COVER,ENCRED,Red algae -Encrusting,7,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,20-30m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,20-30m,RELIEF,0-10cm,0-10cm,4,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,20-30m,RELIEF,10cm-1m,10cm-1m,6,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,20-30m,COVER,BARROC,Bare Rock,5,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,20-30m,COVER,ENCRED,Red algae -Encrusting,3,,
2025,8,6,SANDY,BARREN,Haleigh Yang,Jake Metzger,DN,DEEP,2,150,,31,20-30m,COVER,ENCBRN,encrusting brown,1,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,0-10m,SUBSTRATE,BEDRK,Substrate: Bedrock,8,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,0-10m,SUBSTRATE,BOULD,Substrate: Boulder,1,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,0-10m,SUBSTRATE,SAND,Substrate: Sand,1,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,0-10m,RELIEF,0-10cm,0-10cm,5,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,0-10m,RELIEF,10cm-1m,10cm-1m,3,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,0-10m,RELIEF,1m-2m,1m-2m,1,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,0-10m,COVER,SHELL,Shell Debris,1,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,0-10m,COVER,CRUCOR,Coralline algae -Crustose,9,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,10-20m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,10-20m,RELIEF,0-10cm,0-10cm,5,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,10-20m,RELIEF,10cm-1m,10cm-1m,4,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,10-20m,RELIEF,1m-2m,1m-2m,1,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,10-20m,COVER,BARROC,Bare Rock,4,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,10-20m,COVER,ENCRED,Red algae -Encrusting,1,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,10-20m,COVER,CRUCOR,Coralline algae -Crustose,5,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,20-30m,SUBSTRATE,BEDRK,Substrate: Bedrock,10,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,20-30m,RELIEF,0-10cm,0-10cm,6,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,20-30m,RELIEF,10cm-1m,10cm-1m,4,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,20-30m,COVER,ENCRED,Red algae -Encrusting,2,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,20-30m,COVER,CRUCOR,Coralline algae -Crustose,6,,
2025,8,6,SANDY,BARREN,Caleigh Quist,Amina Shenasa,UP,DEEP,1,290,,30,20-30m,COVER,ENCBRN,encrusting brown,1,,
